test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,1,6000,6119.8,734.38,27,0.980424196869179,0.583600692880234,1.0358,3e-4,0,4895.84,0.8,7477.6,1477.6000000000004,1.0120373648519845,0.98,-0.01957580313082096,0,"(-0.1,0.15]",27,1.0120373648519845,3.606525032791019e-4,1.0116767123487054
2020-03-28,1,6000,6203.2,775.4,27,0.967242713438225,0.602151577248603,1.024,3e-4,0,6203.2,1,7477.6,1477.6000000000004,0.9055971111684298,0.96,-0.03275728656177501,0,"(-0.1,0.15]",27,0.9055971111684298,3.606525032791019e-4,0.9052364586651507
2020-03-28,1,6500,6148,501.06,27,1.05725439167209,0.469186459899701,0.9749,3e-4,0,24592,4,7477.6,977.6000000000004,0.9510637448608956,1.05,0.05725439167209001,0,"(-0.1,0.15]",27,0.9510637448608956,3.606525032791019e-4,0.9507030923576165
2020-03-28,1,6500,6313.55,577.69,27,1.02953172145623,0.509756083184863,0.9812,3e-4,0,3156.775,0.5,7477.6,977.6000000000004,0.6922570929044993,1.02,0.02953172145623006,0,"(-0.1,0.15]",27,0.6922570929044993,3.606525032791019e-4,0.6918964404012202
2020-03-28,1,6500,6144.08,513.03,27,1.05792893321702,0.470720589821527,0.9928,3e-4,0,30720.4,5,7477.6,977.6000000000004,0.9055415862620128,1.05,0.05792893321702008,0,"(-0.1,0.15]",27,0.9055415862620128,3.606525032791019e-4,0.9051809337587337
2020-03-28,1,6500,6144.08,516.1,27,1.05792893321702,0.471365734362506,0.9975,3e-4,0,18432.24,3,7477.6,977.6000000000004,0.8942065491183886,1.05,0.05792893321702008,0,"(-0.1,0.15]",27,0.8942065491183886,3.606525032791019e-4,0.8938458966151095
2020-03-28,1,6500,6092.21,505.65,27,1.06693630061997,0.462150757167819,1.0193,3e-4,0,71278.857,11.7,7477.6,977.6000000000004,0.9333531098585988,1.06,0.06693630061996991,0,"(-0.1,0.15]",27,0.9333531098585988,3.606525032791019e-4,0.9329924573553197
2020-03-28,1,6500,6088.84,508.42,27,1.06752681955841,0.462591083892389,1.0278,3e-4,0,1217.768,0.2,7477.6,977.6000000000004,0.9228197159828496,1.06,0.06752681955841,0,"(-0.1,0.15]",27,0.9228197159828496,3.606525032791019e-4,0.9224590634795705
2020-03-28,1,6500,6268.96,542.27,27,1.03685459789184,0.497308285889656,0.9644,3e-4,0,3134.48,0.5,7477.6,977.6000000000004,0.8027919671012602,1.03,0.03685459789183998,0,"(-0.1,0.15]",27,0.8027919671012602,3.606525032791019e-4,0.8024313145979811
2020-03-28,1,6500,6287.19,572.13,27,1.03384818973182,0.503145082989526,0.9778,3e-4,0,8802.066,1.4,7477.6,977.6000000000004,0.7087025675982737,1.03,0.03384818973181991,0,"(-0.1,0.15]",27,0.7087025675982737,3.606525032791019e-4,0.7083419150949946
2020-03-28,1,6500,6255.18,547.33,27,1.03913876179422,0.495239024405786,0.9756,3e-4,0,31275.9,5,7477.6,977.6000000000004,0.7861253722617074,1.03,0.03913876179422004,0,"(-0.1,0.15]",27,0.7861253722617074,3.606525032791019e-4,0.7857647197584283
2020-03-28,1,6500,6253.47,547.18,27,1.03942291239904,0.49491898153275,0.9764,3e-4,0,31267.35,5,7477.6,977.6000000000004,0.7866150078584753,1.03,0.03942291239903994,0,"(-0.1,0.15]",27,0.7866150078584753,3.606525032791019e-4,0.7862543553551962
2020-03-28,1,6500,6243.05,546.27,27,1.04115776743739,0.492889603704345,0.9805,3e-4,0,31215.25,5,7477.6,977.6000000000004,0.7895912277811346,1.04,0.04115776743738997,0,"(-0.1,0.15]",27,0.7895912277811346,3.606525032791019e-4,0.7892305752778555
2020-03-28,1,6500,6234.79,545.54,27,1.04253711833117,0.491449683319538,0.9851,3e-4,0,31173.95,5,7477.6,977.6000000000004,0.7919859222055219,1.04,0.04253711833117002,0,"(-0.1,0.15]",27,0.7919859222055219,3.606525032791019e-4,0.7916252697022428
2020-03-28,1,6500,6290.19,553.54,27,1.03335511327957,0.501951105667503,0.9597,3e-4,0,3145.095,0.5,7477.6,977.6000000000004,0.7660873649600759,1.03,0.03335511327956997,0,"(-0.1,0.15]",27,0.7660873649600759,3.606525032791019e-4,0.7657267124567968
