Trade Date,Underlying,Product Type,Exchange,Volume
2019/11/15,SPX,I,CBOE,1494013
2019/11/18,SPX,I,CBOE,1101313
2019/11/19,SPX,I,CBOE,877794
2019/11/20,SPX,I,CBOE,1472213
2019/11/21,SPX,I,CBOE,924841
2019/11/22,SPX,I,CBOE,1083221
2019/11/25,SPX,I,CBOE,1144448
2019/11/26,SPX,I,CBOE,903052
2019/11/27,SPX,I,CBOE,1416099
2019/11/29,SPX,I,CBOE,855376
2019/12/2,SPX,I,CBOE,1604982
2019/12/3,SPX,I,CBOE,1387649
2019/12/4,SPX,I,CBOE,1168337
2019/12/5,SPX,I,CBOE,725786
2019/12/6,SPX,I,CBOE,1465933
2019/12/9,SPX,I,CBOE,1151923
2019/12/10,SPX,I,CBOE,963563
2019/12/11,SPX,I,CBOE,1024104
2019/12/12,SPX,I,CBOE,1424371
2019/12/13,SPX,I,CBOE,1845066
2019/12/16,SPX,I,CBOE,1830937
2019/12/17,SPX,I,CBOE,1126811
2019/12/18,SPX,I,CBOE,1252603
2019/12/19,SPX,I,CBOE,1318189
2019/12/20,SPX,I,CBOE,1781766
2019/12/23,SPX,I,CBOE,1055240
2019/12/24,SPX,I,CBOE,449503
2019/12/26,SPX,I,CBOE,693793
2019/12/27,SPX,I,CBOE,1222065
2019/12/30,SPX,I,CBOE,1220065
2019/12/31,SPX,I,CBOE,1409904
2020/1/2,SPX,I,CBOE,1106409
2020/1/3,SPX,I,CBOE,1510535
2020/1/6,SPX,I,CBOE,1283496
2020/1/7,SPX,I,CBOE,985736
2020/1/8,SPX,I,CBOE,1513507
2020/1/9,SPX,I,CBOE,1290156
