test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,-1,4500,6254.17,171.99,27,0.719519936298502,0.999652569306208,1.286,3e-4,0,18762.51,3,7477.6,0,-1,0.71,-0.28048006370149803,0,171.99,0,6254.17,7477.6,"(-0.5,-0.1]",27,0.16360788478731708,3.747968745786423e-4,0.16323308791273844
2020-03-28,-1,4500,6197.43,185.92,27,0.726107434856061,0.999668349026563,1.2915,3e-4,0,30987.15,5,7477.6,0,-1,0.72,-0.273892565143939,0,185.92,0,6197.43,7477.6,"(-0.5,-0.1]",27,0.171411209815954,3.747968745786423e-4,0.17103641294137537
2020-03-28,-1,4500,6231.34,180.71,27,0.722156069160084,0.999705205985384,1.3037,3e-4,0,62313.4,10,7477.6,0,-1,0.72,-0.277843930839916,0,180.71,0,6231.34,7477.6,"(-0.5,-0.1]",27,0.16616961147045672,3.747968745786423e-4,0.16579481459587808
2020-03-28,-1,4500,6250.18,181.26,27,0.71997926459718,0.999728213106772,1.3121,3e-4,0,125003.6,20,7477.6,0,-1,0.71,-0.28002073540282,0,181.26,0,6250.18,7477.6,"(-0.5,-0.1]",27,0.16265450774782217,3.747968745786423e-4,0.16227971087324353
2020-03-28,-1,4500,6245.71,174.88,27,0.720494547457375,0.999675278853665,1.2933,3e-4,0,31228.55,5,7477.6,0,-1,0.72,-0.27950545254262504,0,174.88,0,6245.71,7477.6,"(-0.5,-0.1]",27,0.16461786893259445,3.747968745786423e-4,0.1642430720580158
2020-03-28,-1,4500,6259.88,169.02,27,0.718863620388889,0.999607771060696,1.2729,3e-4,0,625.988,0.1,7477.6,0,-1,0.71,-0.28113637961111104,0,169.02,0,6259.88,7477.6,"(-0.5,-0.1]",27,0.16311077507129165,3.747968745786423e-4,0.162735978196713
2020-03-28,-1,4500,6140.77,196.5,27,0.732807123536625,0.99968848935978,1.2987,3e-4,0,12895.617,2.1,7477.6,0,-1,0.73,-0.267192876463375,0,196.5,0,6140.77,7477.6,"(-0.5,-0.1]",27,0.179928857674763,3.747968745786423e-4,0.17955406080018435
2020-03-28,-1,4500,6166.81,191.17,27,0.729712768838346,0.999674855629313,1.2939,3e-4,0,24667.24,4,7477.6,0,-1,0.72,-0.270287231161654,0,191.17,0,6166.81,7477.6,"(-0.5,-0.1]",27,0.1760853090588215,3.747968745786423e-4,0.17571051218424286
2020-03-28,-1,4500,6254.2,168.86,27,0.719516484922132,0.999605756540904,1.2724,3e-4,0,1250.84,0.2,7477.6,0,-1,0.71,-0.28048351507786795,0,168.86,0,6254.2,7477.6,"(-0.5,-0.1]",27,0.16416824200351918,3.747968745786423e-4,0.16379344512894053
2020-03-28,-1,4500,6210.63,180.11,27,0.724564174648949,0.999699322916899,1.3018,3e-4,0,31053.15,5,7477.6,0,-1,0.72,-0.27543582535105104,0,180.11,0,6210.63,7477.6,"(-0.5,-0.1]",27,0.17005802403303955,3.747968745786423e-4,0.1696832271584609
2020-03-28,-1,4500,6209.18,180.07,27,0.72473337864259,0.999696147183724,1.3007,3e-4,0,31045.9,5,7477.6,0,-1,0.72,-0.27526662135741,0,180.07,0,6209.18,7477.6,"(-0.5,-0.1]",27,0.17033078157057005,3.747968745786423e-4,0.1699559846959914
2020-03-28,-1,4500,6203.19,179.89,27,0.725433204528638,0.999687859058342,1.2979,3e-4,0,31015.95,5,7477.6,0,-1,0.72,-0.274566795471362,0,179.89,0,6203.19,7477.6,"(-0.5,-0.1]",27,0.17146177091178771,3.747968745786423e-4,0.17108697403720907
2020-03-28,-1,4500,6209.55,180.08,27,0.724690194941662,0.999696443517639,1.3008,3e-4,0,31047.75,5,7477.6,0,-1,0.72,-0.275309805058338,0,180.08,0,6209.55,7477.6,"(-0.5,-0.1]",27,0.17026119022372044,3.747968745786423e-4,0.1698863933491418
2020-03-28,-1,4500,6203.11,179.89,27,0.725442560264126,0.999688150599474,1.298,3e-4,0,31015.55,5,7477.6,0,-1,0.72,-0.274557439735874,0,179.89,0,6203.11,7477.6,"(-0.5,-0.1]",27,0.1714764626857634,3.747968745786423e-4,0.17110166581118474
2020-03-28,-1,4500,6197.75,170.44,27,0.72606994473801,0.99953034647946,1.2539,3e-4,0,619.775,0.1,7477.6,0,-1,0.72,-0.27393005526199,0,170.44,0,6197.75,7477.6,"(-0.5,-0.1]",27,0.17419643007794255,3.747968745786423e-4,0.1738216332033639
2020-03-28,-1,4500,6199.47,179.78,27,0.725868501662239,0.999662453969649,1.2896,3e-4,0,18598.41,3,7477.6,0,-1,0.72,-0.27413149833776096,0,179.78,0,6199.47,7477.6,"(-0.5,-0.1]",27,0.1721642582335138,3.747968745786423e-4,0.17178946135893516
2020-03-28,-1,4500,6127.76,189.96,27,0.734362964606969,0.999664730017727,1.291,3e-4,0,18383.28,3,7477.6,0,-1,0.73,-0.26563703539303096,0,189.96,0,6127.76,7477.6,"(-0.5,-0.1]",27,0.1835796133788279,3.747968745786423e-4,0.18320481650424925
2020-03-28,-1,4500,6254.17,171.99,27,0.719519936298502,0.999652569306208,1.286,3e-4,0,18762.51,3,7477.6,0,-1,0.71,-0.28048006370149803,0,171.99,0,6254.17,7477.6,"(-0.5,-0.1]",27,0.16360788478731708,3.747968745786423e-4,0.16323308791273844
2020-03-28,-1,4500,6260.05,172.15,27,0.718844098689308,0.999660131767281,1.2883,3e-4,0,31300.25,5,7477.6,0,-1,0.71,-0.281155901310692,0,172.15,0,6260.05,7477.6,"(-0.5,-0.1]",27,0.16251546283589205,3.747968745786423e-4,0.1621406659613134
2020-03-28,-1,4500,6259.88,169.02,27,0.718863620388889,0.999607771060696,1.2729,3e-4,0,625.988,0.1,7477.6,0,-1,0.71,-0.28113637961111104,0,169.02,0,6259.88,7477.6,"(-0.5,-0.1]",27,0.16311077507129165,3.747968745786423e-4,0.162735978196713
2020-03-28,-1,4500,6197.43,185.92,27,0.726107434856061,0.999668349026563,1.2915,3e-4,0,30987.15,5,7477.6,0,-1,0.72,-0.273892565143939,0,185.92,0,6197.43,7477.6,"(-0.5,-0.1]",27,0.171411209815954,3.747968745786423e-4,0.17103641294137537
2020-03-28,-1,4500,6231.34,180.71,27,0.722156069160084,0.999705205985384,1.3037,3e-4,0,62313.4,10,7477.6,0,-1,0.72,-0.277843930839916,0,180.71,0,6231.34,7477.6,"(-0.5,-0.1]",27,0.16616961147045672,3.747968745786423e-4,0.16579481459587808
2020-03-28,-1,4500,6250.18,181.26,27,0.71997926459718,0.999728213106772,1.3121,3e-4,0,125003.6,20,7477.6,0,-1,0.71,-0.28002073540282,0,181.26,0,6250.18,7477.6,"(-0.5,-0.1]",27,0.16265450774782217,3.747968745786423e-4,0.16227971087324353
