Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,-1,8000,7720.35,656.23,27,1.03622245105468,0.956263861611955,0.611,0.0156,0,2316.105,0.3,7194.4,805.6000000000004,0.22761836551209225,1.03,0.03622245105468003,1
2019-11-30,-1,8000,7744.76,650.56,27,1.03295647637887,0.957844125418013,0.6178,0.0156,0,15489.52,2,7194.4,805.6000000000004,0.23831775700934643,1.03,0.03295647637886989,1
2019-11-30,-1,8000,7722.16,660.24,27,1.03597957048287,0.956735489214882,0.6131,0.0156,0,15444.32,2,7194.4,805.6000000000004,0.22016236520053378,1.03,0.03597957048287004,1
2019-11-30,-1,8000,7743.07,634.93,27,1.03318192913147,0.952973700097705,0.5962,0.0156,0,7743.07,1,7194.4,805.6000000000004,0.2688012851810442,1.03,0.03318192913146989,1
2019-11-30,-1,10000,7754.96,2295.47,27,1.28949730237164,0.967650723529782,0.6932,0.0156,0,7754.96,1,7194.4,2805.6000000000004,0.22223335526057864,1.28,0.28949730237164006,1
2019-11-30,-1,10000,7742.11,2299.41,27,1.29163755100354,0.964964214824734,0.6792,0.0156,0,7742.11,1,7194.4,2805.6000000000004,0.2201390791550879,1.29,0.29163755100354005,1
2020-03-28,1,4500,6267,1867.57,27,0.718046912398277,0.998150489224929,1.0943,3e-4,0,31335,5,7477.6,2977.6000000000004,0.5943712953195868,0.71,-0.281953087601723,0
2020-03-28,1,4500,6256.76,1864.51,27,0.719222089388118,0.998787613157301,1.1454,3e-4,0,31283.8,5,7477.6,2977.6000000000004,0.5969879485763017,0.71,-0.28077791061188195,0
2020-03-28,1,4500,6256.76,1864.51,27,0.719222089388118,0.998787613157301,1.1454,3e-4,0,31283.8,5,7477.6,2977.6000000000004,0.5969879485763017,0.71,-0.28077791061188195,0
2020-03-28,1,4500,6267,1867.57,27,0.718046912398277,0.998150489224929,1.0943,3e-4,0,31335,5,7477.6,2977.6000000000004,0.5943712953195868,0.71,-0.281953087601723,0
2020-03-28,1,5500,6241.77,1092.31,27,0.881160311898708,0.997332896792506,1.063,3e-4,0,3120.885,0.5,7477.6,1977.6000000000004,0.8104750482921519,0.88,-0.11883968810129197,0
2020-03-28,1,5500,6258.65,1098.39,27,0.878783763271632,0.997090247087127,1.0518,3e-4,0,3129.325,0.5,7477.6,1977.6000000000004,0.8004533908720948,0.87,-0.12121623672836801,0
2020-03-28,1,5500,6084.83,946.19,27,0.903887208023889,0.995585000698569,0.9998,3e-4,0,3042.415,0.5,7477.6,1977.6000000000004,1.0900664771346138,0.9,-0.096112791976111,0
2020-03-28,1,5500,6241.77,1092.31,27,0.881160311898708,0.997332896792506,1.063,3e-4,0,3120.885,0.5,7477.6,1977.6000000000004,0.8104750482921519,0.88,-0.11883968810129197,0
2020-03-28,1,5500,6258.65,1098.39,27,0.878783763271632,0.997090247087127,1.0518,3e-4,0,3129.325,0.5,7477.6,1977.6000000000004,0.8004533908720948,0.87,-0.12121623672836801,0
2020-03-28,1,5500,6084.83,946.19,27,0.903887208023889,0.995585000698569,0.9998,3e-4,0,3042.415,0.5,7477.6,1977.6000000000004,1.0900664771346138,0.9,-0.096112791976111,0
